timestamp_s,power_w,gpu_pct,cpu_pct
177,21.1,54.9,37.9
178,21.7,53.3,36.9
179,20.5,50.4,37.4
180,22.2,55.4,38.8
181,21.4,48.5,37.7
182,21.2,53.9,37.2
183,21.7,54.7,37.8
184,21.3,50.8,36.7
185,21.2,50.9,38.8
186,21.4,56.6,37.6
187,21.7,54.3,39.3
188,21.1,51.1,37.3
189,20.0,51.3,39.0
190,21.6,52.9,38.9
191,22.0,54.0,36.9
192,20.9,52.7,38.4
193,21.0,53.5,36.6
194,21.6,51.2,39.6
195,21.0,50.5,37.7
196,21.1,51.3,40.0
197,20.5,53.7,38.2
198,21.6,55.3,36.6
199,22.2,52.1,38.0
200,21.2,50.4,37.1
201,21.3,51.1,38.9
202,21.3,52.5,37.1
203,21.4,52.1,39.8
204,20.1,52.3,39.2
205,21.8,53.0,40.4
206,21.8,51.2,37.9
207,21.4,52.7,38.3
208,21.3,50.2,39.0
209,20.3,52.4,37.8
210,21.3,54.5,37.8
211,20.8,52.5,38.0
212,21.7,52.0,39.5
213,22.9,50.7,37.6
214,22.3,53.7,36.2
215,21.2,50.9,37.1
216,21.1,52.8,37.7
217,21.2,50.8,39.1
218,20.7,52.0,39.6
219,21.2,53.3,36.1
220,20.6,53.6,41.2
221,21.8,55.4,37.1
222,21.6,55.6,37.4
223,21.8,52.0,38.1
224,21.0,53.1,39.8
225,21.1,53.0,37.9
226,20.9,54.2,40.9
227,22.1,52.4,35.2
228,21.1,51.6,38.8
229,20.7,56.3,40.1
230,23.0,52.0,38.2
231,21.5,53.5,36.5
232,20.9,54.9,38.9
233,21.6,53.1,35.0
234,22.2,53.9,38.7
235,21.7,54.1,37.5
236,21.0,51.4,38.8
237,21.4,53.4,37.6
238,21.6,51.0,37.9
239,21.7,54.5,38.8
240,20.7,53.8,36.2
241,22.0,57.4,39.5
242,21.2,53.4,34.7
243,20.8,51.4,39.3
244,20.7,50.6,37.7
245,21.3,50.3,37.6
246,21.9,53.6,36.8
247,20.1,51.1,36.9
248,21.6,54.7,38.5
249,22.4,52.5,38.9
250,22.0,55.4,36.2
251,20.8,53.3,37.0
252,21.5,52.3,39.8
253,20.0,53.0,38.8
254,20.2,52.7,39.8
255,20.6,50.0,38.3
256,22.6,54.7,38.0
257,22.1,51.6,39.0
258,21.7,50.2,38.4
259,21.0,52.8,40.8
260,21.0,50.8,38.0
261,20.9,54.3,39.9
262,22.1,53.4,38.1
263,20.1,53.3,39.9
264,21.3,51.3,38.1
265,21.3,55.7,38.2
266,20.3,53.7,39.4
267,20.9,54.1,37.9
268,20.2,51.6,39.0
269,21.3,50.3,37.0
270,21.7,52.5,38.1
271,21.9,51.5,40.8
272,20.8,53.2,40.3
273,22.1,52.7,36.6
274,21.3,54.4,37.7
275,21.2,54.5,37.5
276,20.5,53.8,38.3
277,20.5,52.5,39.1
278,21.6,54.4,38.2
279,21.7,55.8,39.3
280,20.4,52.4,39.3
281,21.5,53.0,39.7
282,21.1,51.0,36.5
283,21.8,51.4,40.6
284,21.8,51.0,38.1
285,21.9,51.4,37.2
286,20.6,52.4,39.8
287,20.3,51.7,36.4
288,21.1,55.0,37.1
289,21.0,55.2,39.0
290,20.8,51.0,39.2
291,21.2,51.3,37.2
292,21.5,53.7,38.1
293,22.1,52.0,38.2
294,21.4,53.3,37.4
295,20.6,53.4,38.6
296,20.7,52.7,38.1
297,21.0,53.0,35.8
298,21.4,52.8,40.4
299,21.2,54.2,36.6
300,20.4,53.9,38.7
301,22.1,53.8,39.6
302,20.5,52.4,39.2
303,21.5,51.2,38.0
304,20.7,53.1,37.0
305,22.0,52.3,37.8
306,22.0,52.6,36.5
307,21.3,51.7,38.3
308,20.7,51.8,37.4
309,20.5,54.3,38.4
310,22.0,55.7,35.3
311,21.1,53.5,37.5
312,21.0,51.0,38.1
313,21.9,51.8,37.9
314,21.1,52.7,36.1
315,21.5,52.1,38.4
316,22.4,51.7,39.5
317,21.4,52.9,38.0
318,21.2,54.1,37.6
319,20.9,52.2,39.7
320,22.2,53.3,39.8
321,21.4,54.3,38.5
322,21.0,53.0,37.4
323,21.3,52.6,36.3
324,21.8,53.0,36.4
325,22.3,51.1,37.5
326,20.6,51.2,37.8
327,20.8,54.3,38.9
328,20.9,54.2,36.8
329,22.0,54.1,38.4
330,21.4,51.0,38.9
331,21.7,53.8,40.1
332,21.2,52.2,36.2
333,21.1,52.1,39.8
334,21.0,50.4,37.7
335,20.9,53.0,37.7
336,20.9,51.6,38.3
337,21.3,52.8,37.1
338,21.3,55.0,40.2
339,20.7,50.9,39.0
340,21.5,54.4,34.8
341,21.2,52.8,38.0
342,22.0,50.4,38.1
343,22.5,53.1,39.1
344,20.3,52.9,37.4
345,21.2,55.8,39.5
346,20.9,53.7,38.4
347,21.1,52.9,39.0
348,20.4,53.8,40.0
349,21.1,54.0,37.8
350,21.7,52.9,37.7
351,20.8,52.5,37.2
352,21.3,50.4,38.5
353,21.4,51.5,39.2
354,20.7,54.3,37.3
355,22.2,54.0,39.4
356,20.8,53.5,38.9
357,21.2,52.5,37.9
358,21.6,53.9,36.0
359,21.2,51.5,38.0
360,21.8,54.8,37.9
361,19.5,54.4,35.5
362,22.0,54.5,36.0
363,22.0,51.9,35.2
364,21.0,52.4,39.3
365,21.5,53.2,38.6
366,20.0,55.2,37.0
367,20.3,54.0,38.6
368,21.6,54.8,40.8
369,20.0,52.2,39.7
370,22.0,53.4,37.9
371,20.5,54.6,39.5
372,23.0,51.0,36.1
373,21.5,54.5,38.0
374,19.7,54.4,38.8
375,20.6,52.6,39.0
376,21.2,53.5,37.7
377,20.8,53.7,37.6
378,21.5,52.9,39.0
379,21.5,51.9,38.4
380,20.6,55.5,39.1
381,21.9,54.2,40.3
382,21.8,55.3,38.8
383,21.1,50.3,37.2
384,20.7,52.4,38.1
385,20.8,52.4,37.6
386,20.9,49.0,39.7
387,22.1,53.5,37.8
388,21.7,53.5,36.4
389,21.2,56.2,37.0
390,21.2,51.7,38.9
391,21.2,56.1,38.6
392,21.7,53.5,37.1
393,22.0,54.6,37.8
394,20.9,54.1,36.2
395,20.1,52.2,38.0
396,20.3,53.0,39.3
397,20.8,53.3,38.2
398,21.9,54.6,40.2
399,20.4,55.9,37.5
400,20.6,53.0,37.8
401,20.8,51.7,40.9
402,20.8,51.8,36.0
403,21.5,51.8,36.7
404,21.6,52.8,39.9
405,21.0,53.7,36.5
406,20.5,51.7,38.6
407,21.5,50.4,37.5
408,20.8,53.3,38.5
409,21.6,52.7,38.4
410,22.1,52.2,40.3
411,21.5,50.0,38.0
412,21.6,51.4,38.8
413,20.9,52.4,37.5
414,21.3,50.5,38.1
415,21.7,54.0,38.2
416,21.4,52.2,37.4
417,20.8,53.6,37.1
418,22.2,51.2,40.2
419,21.6,52.9,37.4
420,20.5,53.8,37.4
421,21.3,52.4,36.8
422,21.8,52.3,39.7
423,20.9,52.9,37.4
424,21.5,53.7,39.8
425,21.5,55.2,38.0
426,20.7,52.9,37.5
427,21.7,53.2,38.3
428,22.3,55.8,38.7
429,21.0,55.3,39.2
430,21.9,53.7,36.3
431,21.0,51.3,38.8
432,20.4,51.9,35.9
433,21.2,52.9,39.0
434,20.4,52.3,37.0
435,21.2,52.3,36.9
436,20.6,54.7,36.1
437,21.1,53.4,39.7
438,21.6,52.3,38.2
439,21.3,54.7,38.9
440,21.0,52.7,38.3
441,22.0,52.8,37.4
442,20.9,50.7,37.7
443,21.4,52.3,37.5
444,21.0,50.1,39.4
445,20.6,54.2,39.1
446,21.3,53.8,37.6
447,20.8,51.5,38.0
448,21.1,52.2,38.2
449,21.8,52.2,35.3
450,21.0,55.2,37.8
451,21.1,51.1,38.2
452,20.8,53.7,36.6
453,21.4,52.7,38.9
454,20.5,55.4,39.4
455,20.1,53.4,37.1
456,20.1,52.8,37.9
457,22.1,52.4,36.3
458,20.5,54.0,39.6
459,21.6,54.4,39.2
460,21.8,56.3,38.9
461,20.7,52.6,38.8
462,21.5,53.2,38.8
463,21.8,54.9,35.0
464,21.3,55.2,37.5
465,22.5,55.4,36.8
466,22.1,49.4,37.7
467,22.6,53.4,35.6
468,21.4,50.8,35.7
469,21.0,53.5,36.5
470,21.1,55.2,38.2
471,21.1,56.1,39.2
472,22.0,51.3,39.1
473,21.4,53.8,37.8
474,20.1,51.2,37.5
475,21.3,53.0,35.4
476,21.8,53.5,37.3
477,22.3,51.2,38.4
478,21.5,54.5,39.3
479,21.8,52.3,39.5
480,21.1,53.4,39.9
481,21.7,52.2,38.8
482,21.2,51.9,37.8
483,21.1,51.7,37.4
484,20.6,53.2,36.9
485,22.3,51.6,38.9
486,20.3,52.1,38.2
487,21.0,53.3,39.4
488,21.5,51.4,38.3
489,21.8,53.6,37.2
490,21.2,51.6,37.9
491,20.9,51.6,37.1
492,21.6,51.5,39.5
493,21.6,53.2,38.7
494,21.2,54.9,38.4
495,21.5,55.4,38.2
496,20.9,54.4,40.0
497,20.7,52.8,36.9
498,21.5,54.1,36.9
499,21.5,53.4,36.6
500,21.8,53.3,36.3
501,21.2,53.4,36.9
502,20.8,51.9,38.1
503,20.9,53.5,36.5
504,21.3,54.2,39.4
505,22.5,53.0,36.8
506,20.6,51.7,39.6
507,20.1,53.5,38.7
508,21.6,53.2,38.0
509,21.5,53.4,38.2
510,22.5,55.6,37.3
511,20.8,55.0,38.3
512,21.3,55.8,41.4
513,20.7,53.6,38.2
514,22.4,52.2,37.5
515,21.0,52.0,40.8
516,19.9,54.9,37.7
517,20.3,53.7,38.1
518,21.7,54.7,37.6
519,21.4,56.1,39.3
520,21.4,54.5,37.2
521,22.2,52.4,37.5
522,22.1,52.6,37.9
523,21.4,48.7,38.2
524,21.1,51.1,38.2
525,21.3,50.8,38.5
526,21.3,51.9,37.7
527,21.4,51.0,39.7
528,21.7,52.9,38.9
529,21.5,53.8,39.3
530,21.3,51.2,37.4
531,21.8,51.7,38.3
532,21.9,55.6,35.7
533,22.0,52.2,36.8
534,20.0,54.3,39.9
535,22.0,53.2,39.0
536,21.8,51.7,39.2
537,21.2,55.2,37.3
538,21.5,54.5,38.2
539,21.1,52.6,38.8
540,22.1,53.9,37.2
541,21.5,52.7,37.3
542,20.8,52.5,39.0
543,21.0,55.8,38.0
544,20.9,52.8,38.0
545,21.5,51.6,37.6
546,22.1,53.2,40.0
547,20.7,50.5,39.2
548,21.8,53.1,38.2
549,21.5,52.8,37.1
550,21.9,50.4,38.5
551,22.3,52.0,38.1
552,20.4,53.2,36.7
553,21.1,50.8,38.3
554,21.8,53.0,39.7
555,22.5,52.6,38.6
556,21.6,51.0,38.3
557,21.5,55.1,38.0
558,21.6,55.6,37.8
559,20.2,55.1,39.9
560,21.4,51.6,39.6
561,22.4,52.7,38.9
562,21.3,54.6,36.4
563,22.3,51.1,38.0
564,21.0,53.4,37.5
565,21.0,52.0,36.8
566,20.9,53.4,39.3
567,21.1,51.8,38.6
568,20.2,56.6,37.0
569,21.9,52.3,37.5
570,20.7,51.4,35.9
571,21.6,51.7,38.4
572,23.0,52.7,36.4
573,21.1,51.6,38.4
574,19.6,52.7,38.8
575,21.2,49.8,37.1
576,21.4,53.3,40.2
577,21.6,54.3,40.0
578,20.6,52.5,37.8
579,21.7,53.7,37.4
580,20.6,54.8,38.4
581,21.9,51.1,38.5
582,21.3,52.6,37.8
583,21.4,51.4,37.5
584,21.0,53.2,37.0
585,21.2,52.7,37.9
586,23.0,55.7,38.6
587,21.9,56.3,37.1
588,20.5,54.0,38.1
589,21.2,54.5,39.4
590,21.4,53.5,36.4
591,21.6,51.4,36.0
592,21.4,54.1,38.6
593,20.8,54.1,38.1
594,21.2,52.2,37.4
595,21.2,53.1,37.7
596,21.1,50.2,40.1
597,20.8,54.1,37.4
598,21.2,52.2,39.7
599,21.3,54.1,37.5
600,20.8,53.3,35.5
601,21.6,52.6,40.1
602,21.5,53.1,38.9
603,20.8,52.7,36.9
604,20.7,54.2,38.1
605,21.8,56.0,37.8
606,21.3,52.9,36.8
607,22.1,53.4,36.6
608,21.6,52.8,36.5
609,21.2,53.8,36.8
610,21.7,50.7,38.6
611,22.0,52.1,38.2
612,20.8,55.2,36.8
613,21.0,51.0,39.4
614,21.2,51.0,37.3
615,22.3,53.2,36.7
616,21.1,50.1,38.6
617,21.3,52.5,38.3
618,21.0,53.8,38.2
619,21.2,53.4,37.8
620,21.5,53.2,37.3
621,21.5,52.6,38.3
622,21.6,51.2,37.8
623,20.5,50.7,38.2
624,20.6,54.4,38.0
625,21.9,51.2,36.8
626,21.3,54.7,34.0
627,21.6,52.5,40.1
628,22.0,52.7,36.4
629,21.4,53.6,36.3
630,21.4,50.9,39.0
631,20.9,51.9,36.0
632,20.9,51.0,36.4
633,21.0,52.9,38.3
634,21.7,52.8,38.6
635,20.3,52.0,38.0
636,20.9,54.5,35.5
637,21.0,56.5,38.1
638,20.6,52.3,37.1
639,21.1,52.3,39.2
640,21.5,53.4,39.1
641,21.6,52.0,37.3
642,21.4,52.2,38.3
643,20.8,54.0,36.3
644,20.6,54.3,35.5
645,21.4,53.5,40.4
646,20.4,54.2,37.1
647,21.4,52.4,37.6
648,22.0,51.5,37.8
649,21.7,53.8,36.5
650,20.7,56.1,39.3
651,21.0,54.7,40.7
652,21.4,52.7,37.6
653,20.2,54.1,39.2
654,21.8,54.1,37.5
655,21.1,54.5,37.9
656,21.7,53.6,37.0
657,20.4,51.9,38.8
658,21.1,53.5,37.4
659,21.3,51.4,38.1
660,21.3,51.7,37.2
661,21.9,51.4,37.0
662,20.9,54.9,37.8
663,21.0,57.3,37.6
664,20.6,52.8,35.0
665,21.7,53.3,36.7
666,21.2,52.9,38.3
667,20.8,53.2,38.3
668,21.2,53.7,37.2
669,21.7,52.3,37.6
670,21.7,53.9,37.2
671,21.5,53.1,37.1
672,21.6,53.0,37.4
673,21.8,51.3,39.3
674,21.4,51.3,35.2
675,21.1,55.6,36.8
676,21.7,53.0,36.0
677,21.1,51.7,36.0
678,21.3,53.1,38.2
679,22.1,52.8,37.4
680,21.1,54.8,36.9
681,22.0,50.1,39.1
682,20.8,52.7,38.4
683,21.2,53.8,39.3
684,22.1,53.5,38.3
685,21.1,55.0,37.3
686,22.2,51.4,38.1
687,20.4,53.7,36.7
688,20.7,53.6,37.9
689,21.0,53.2,38.3
690,21.6,54.8,38.9
691,21.0,54.7,38.6
692,22.0,55.5,38.7
693,21.4,53.6,37.5
694,20.6,53.4,37.8
695,21.0,52.1,38.2
696,20.7,53.5,36.8
697,19.7,54.9,39.7
698,20.3,51.0,38.9
699,21.1,51.0,36.6
700,21.4,54.2,37.2
701,20.3,50.0,39.5
702,21.2,53.3,36.9
703,21.3,53.1,36.5
704,22.3,51.4,35.1
705,21.4,51.8,38.4
706,20.3,53.4,36.7
707,22.1,52.4,37.0
708,20.8,53.3,39.3
709,21.4,54.6,39.4
710,20.1,54.9,39.8
711,21.4,51.7,36.7
712,22.7,55.0,38.0
713,20.9,50.2,36.8
714,21.1,50.5,38.4
715,21.5,53.1,39.5
716,21.4,54.4,38.7
717,22.2,53.4,35.6
718,21.9,55.9,39.1
719,21.4,53.7,36.0
720,21.9,53.6,37.6
721,21.9,52.7,37.2
722,21.2,54.0,37.8
723,20.9,54.3,38.4
724,21.4,52.5,39.6
725,19.9,52.4,38.1
726,21.0,49.9,38.1
727,21.2,52.1,39.1
728,20.9,52.1,37.0
729,22.0,51.8,38.3
730,22.1,53.1,37.6
731,21.8,55.8,37.6
732,20.5,53.8,38.7
733,22.0,52.1,37.8
734,22.6,52.9,38.1
735,19.7,57.0,36.8
736,21.1,52.6,35.4
737,21.9,53.4,38.2
738,20.7,51.4,37.7
739,21.1,56.1,37.1
740,21.6,50.5,40.7
741,21.1,52.3,40.1
742,21.2,53.4,39.3
743,20.0,50.2,39.4
744,21.7,51.6,39.0
745,21.6,53.1,38.0
746,22.8,51.5,38.7
747,20.9,52.9,36.4
748,20.8,51.0,37.9
749,21.0,53.6,38.8
750,21.9,50.5,37.8
751,21.5,52.5,37.1
752,20.5,51.6,37.9
753,21.4,54.2,40.4
754,20.6,54.3,38.9
755,21.8,54.3,35.7
756,20.7,53.5,40.3
757,21.6,53.1,37.5
758,20.3,53.7,38.2
759,21.5,53.9,40.5
760,21.8,52.5,38.6
761,21.3,54.0,38.1
762,21.8,53.4,39.4
763,20.7,52.1,38.9
764,21.7,54.7,39.5
765,20.6,52.0,37.4
766,21.2,55.6,39.0
767,21.4,51.0,38.7
768,21.5,53.5,37.9
769,21.2,52.8,37.0
770,20.5,51.0,38.2
771,21.7,50.9,38.0
772,21.5,51.3,39.2
773,22.0,53.3,37.2
774,20.7,53.4,37.9
775,21.9,54.9,38.3
776,20.9,52.3,38.0
777,20.5,51.5,37.9
778,21.4,53.4,38.1
779,20.8,54.1,38.6
780,21.7,53.5,37.8
781,21.8,50.1,36.9
782,22.2,50.6,37.0
783,21.8,51.9,37.2
784,21.6,52.9,38.4
785,21.3,54.1,38.6
786,21.7,52.1,40.1
787,21.6,53.1,37.2
788,21.4,52.9,36.7
789,21.0,51.7,37.0
790,21.6,51.8,40.1
791,21.5,51.8,37.3
792,21.6,51.0,38.7
793,21.4,54.3,40.1
794,21.1,55.2,36.1
795,21.6,53.5,38.5
796,19.9,53.0,40.5
797,21.6,53.0,37.1
798,21.5,51.5,37.3
799,22.3,55.6,36.1
800,22.0,54.2,36.5
801,21.0,54.4,37.7
802,21.0,49.8,40.1
803,21.6,54.8,37.1
804,20.6,54.6,37.5
805,21.9,52.4,36.6
806,22.0,55.0,38.6
807,20.5,53.8,38.3
808,21.1,53.3,37.0
809,21.4,53.5,39.2
810,22.4,54.9,37.2
811,20.4,51.7,38.7
812,21.6,49.9,39.1
813,21.6,53.2,37.0
814,21.3,52.3,36.9
815,21.5,51.4,39.3
816,21.3,52.5,36.2
817,20.8,57.3,35.8
818,20.7,52.1,37.3
819,21.7,49.5,37.9
820,21.1,53.8,38.2
821,20.5,51.1,36.7
822,21.8,54.7,39.9
823,20.4,52.8,39.9
824,22.1,51.3,38.1
825,20.3,53.9,39.2
826,22.6,51.6,37.5
827,21.8,52.4,36.9
828,20.5,52.1,36.9
829,21.1,51.9,39.7
830,19.8,52.8,38.4
831,21.9,53.4,37.6
832,21.0,54.3,39.0
833,21.7,53.9,36.7
834,21.4,53.8,36.5
835,21.6,52.7,37.4
836,21.3,52.2,38.1
837,22.2,53.4,38.2
838,21.7,53.0,38.5
839,21.3,55.7,39.2
840,22.1,56.0,37.5
841,21.7,52.8,38.0
842,21.5,51.6,37.2
843,20.2,52.7,38.6
844,21.3,51.7,36.6
845,21.6,52.7,38.0
846,21.6,52.1,37.6
847,20.8,55.9,37.7
848,20.5,51.3,37.1
849,20.3,52.8,38.4
850,20.9,52.9,37.8
851,21.7,51.9,39.4
852,20.6,54.1,36.4
853,20.2,53.0,36.2
854,21.6,52.7,38.8
855,21.3,53.3,37.8
856,21.5,52.2,38.9
857,21.7,51.9,36.4
858,21.0,51.0,36.7
859,20.9,53.7,37.6
860,21.9,52.6,38.6
861,20.8,52.0,39.2
862,21.6,53.0,36.7
863,22.4,53.4,36.9
864,21.4,51.3,41.1
865,21.5,55.0,38.6
866,20.4,51.8,37.7
867,20.0,52.5,36.8
868,22.0,53.3,36.8
869,21.8,56.3,40.7
870,21.6,55.6,38.4
871,21.1,54.3,38.4
872,20.9,52.9,36.7
873,21.2,51.0,37.7
874,21.7,51.9,37.9
875,22.0,53.3,37.6
876,21.8,51.5,37.2
877,21.6,49.0,38.2
878,21.0,53.5,37.5
879,22.0,51.8,37.3
880,21.8,52.4,39.3
881,21.0,53.6,40.2
882,21.3,50.1,37.0
883,20.6,51.4,38.3
884,21.7,53.2,39.2
885,20.9,52.5,36.5
886,20.4,51.6,36.9
887,21.6,53.9,37.7
888,21.4,53.7,36.5
889,21.4,53.8,37.2
890,21.6,54.1,38.5
891,21.5,52.0,38.7
892,21.6,53.0,36.4
893,21.3,51.6,38.8
894,21.5,53.0,39.5
895,20.8,54.4,37.8
896,21.2,54.7,38.0
897,20.9,50.7,36.7
898,21.7,52.9,36.5
899,21.9,51.1,38.7
900,21.2,51.9,38.3
901,21.2,52.9,37.9
902,21.5,53.1,36.5
903,20.5,52.3,37.0
904,20.3,54.7,38.1
905,21.0,52.6,38.4
906,21.0,52.4,40.6
907,20.9,51.4,37.4
908,21.0,53.4,38.3
909,22.1,51.0,34.6
910,20.6,50.7,35.8
911,21.8,51.6,38.2
912,20.1,54.0,38.0
913,21.7,54.0,38.4
914,21.7,51.2,37.1
915,21.7,51.7,39.8
916,20.9,53.5,38.2
917,21.4,51.8,38.4
918,21.1,55.1,39.1
919,22.1,54.5,36.9
920,22.5,54.6,39.0
921,21.7,50.9,38.9
922,21.5,55.4,37.5
923,22.5,52.9,38.1
924,20.8,52.1,38.4
925,22.5,55.0,37.8
926,22.0,50.5,38.6
927,21.4,53.2,39.9
928,21.1,52.6,38.4
929,21.4,53.4,38.1
930,21.7,53.1,38.2
931,20.2,55.7,39.8
932,21.7,56.1,38.0
933,21.1,52.0,38.8
934,20.3,50.4,37.5
935,21.5,53.8,37.5
936,21.6,51.9,36.9
937,21.3,51.8,38.0
938,22.1,54.0,37.1
939,22.5,53.4,38.4
940,21.5,51.5,38.2
941,20.8,52.6,38.4
942,20.7,53.4,38.1
943,21.7,52.6,39.9
944,21.3,52.1,40.1
945,20.7,50.5,37.8
946,21.8,53.6,36.0
947,20.6,52.7,37.2
948,21.5,55.7,38.1
949,20.8,51.7,37.8
950,21.5,51.6,36.8
951,20.5,53.3,38.5
952,21.0,55.2,38.4
953,21.3,52.7,37.6
954,21.6,54.4,39.0
955,21.3,50.9,38.8
956,21.4,53.0,38.1
957,21.5,54.2,37.1
958,20.8,52.7,37.0
959,20.6,49.8,38.7
960,22.0,52.7,39.7
961,22.6,54.9,37.9
962,21.3,53.0,39.4
963,21.4,53.9,37.1
964,21.3,54.7,38.6
965,22.8,53.7,38.1
966,22.0,53.8,38.9
967,21.5,53.8,36.4
968,20.0,53.4,36.0
969,21.0,52.5,38.7
970,20.9,53.8,39.1
971,21.6,53.7,37.8
972,21.8,52.5,38.1
973,20.5,49.5,36.0
974,21.7,49.6,36.0
975,20.4,54.0,37.3
976,20.7,52.3,37.3
977,20.4,52.8,36.0
978,21.2,56.3,38.6
979,20.5,53.1,36.5
980,21.2,53.1,39.5
981,20.8,52.0,38.7
982,21.3,53.6,38.6
983,21.7,52.8,37.0
984,20.9,52.2,37.3
985,21.1,50.6,37.9
986,20.2,53.2,35.3
987,21.1,51.6,39.2
988,21.4,50.6,38.0
989,21.4,51.7,36.8
990,21.4,51.9,38.4
991,20.8,51.0,35.8
992,20.9,52.3,36.4
993,22.0,53.1,37.8
994,20.4,52.0,37.9
995,21.8,52.0,38.7
