timestamp_s,latency_ms,fps
131,37.5,26.7
132,37.0,27.0
133,37.7,26.5
134,37.3,26.8
135,37.1,26.9
136,37.2,26.9
137,37.6,26.6
138,37.4,26.7
139,37.2,26.9
140,38.0,26.3
141,37.4,26.8
142,37.2,26.9
143,37.0,27.1
144,37.3,26.8
145,37.1,27.0
146,37.7,26.5
147,37.6,26.6
148,37.5,26.7
149,37.5,26.7
150,37.6,26.6
151,37.6,26.6
152,37.5,26.7
153,37.5,26.7
154,36.8,27.1
155,37.8,26.4
156,37.7,26.5
157,37.6,26.6
158,37.0,27.0
159,37.6,26.6
160,37.6,26.6
161,37.1,26.9
162,37.7,26.5
163,37.2,26.9
164,37.8,26.4
165,37.8,26.4
166,37.7,26.5
167,37.1,27.0
168,37.6,26.6
169,38.1,26.2
170,38.0,26.3
171,36.5,27.4
172,37.5,26.7
173,37.6,26.6
174,37.7,26.5
175,37.4,26.8
176,37.9,26.4
177,37.3,26.8
178,37.1,27.0
179,37.3,26.8
180,37.7,26.5
181,37.1,27.0
182,37.1,27.0
183,37.7,26.5
184,36.5,27.4
185,37.1,27.0
186,37.3,26.8
187,37.9,26.4
188,37.4,26.7
189,37.0,27.0
190,37.4,26.7
191,36.1,27.7
192,37.7,26.5
193,36.6,27.3
194,37.6,26.6
195,36.9,27.1
196,37.5,26.7
197,37.5,26.7
198,37.5,26.6
199,37.4,26.7
200,37.6,26.6
201,37.5,26.7
202,36.8,27.1
203,37.5,26.6
204,37.3,26.8
205,37.4,26.8
206,37.6,26.6
207,37.4,26.8
208,36.6,27.3
209,37.3,26.8
210,36.7,27.2
211,37.5,26.7
212,37.6,26.6
213,38.0,26.3
214,37.2,26.9
215,37.4,26.8
216,37.2,26.9
217,37.6,26.6
218,38.1,26.2
219,37.1,27.0
220,37.0,27.0
221,37.3,26.8
222,37.4,26.8
223,37.3,26.8
224,36.5,27.4
225,36.8,27.1
226,36.5,27.4
227,37.2,26.9
228,37.6,26.6
229,38.3,26.1
230,37.1,26.9
231,37.6,26.6
232,37.4,26.7
233,37.5,26.7
234,37.2,26.9
235,37.0,27.0
236,37.2,26.9
237,36.9,27.1
238,36.8,27.2
239,37.6,26.6
240,37.6,26.6
241,36.8,27.2
242,37.5,26.6
243,37.1,26.9
244,37.1,26.9
245,37.4,26.7
246,37.4,26.7
247,37.5,26.7
248,38.0,26.3
249,37.2,26.9
250,37.8,26.5
251,37.1,27.0
252,37.2,26.9
253,37.7,26.5
254,36.9,27.1
255,36.8,27.2
256,36.9,27.1
257,37.4,26.7
258,37.2,26.9
259,37.7,26.5
260,37.0,27.0
261,37.3,26.8
262,37.7,26.5
263,38.0,26.4
264,37.9,26.4
265,37.9,26.4
266,37.1,27.0
267,37.5,26.6
268,37.1,27.0
269,37.5,26.7
270,37.8,26.5
271,38.2,26.2
272,36.8,27.2
273,36.7,27.2
274,37.5,26.6
275,37.4,26.7
276,37.1,26.9
277,37.3,26.8
278,37.4,26.8
279,37.9,26.4
280,38.3,26.1
281,37.8,26.5
282,37.2,26.9
283,37.2,26.9
284,37.5,26.7
285,37.4,26.7
286,37.2,26.9
287,37.7,26.5
288,37.4,26.7
289,36.7,27.2
290,37.2,26.9
291,37.8,26.4
292,37.0,27.0
293,36.5,27.4
294,36.9,27.1
295,37.7,26.5
296,36.5,27.4
297,37.2,26.9
298,37.6,26.6
299,36.8,27.1
300,37.6,26.6
301,37.7,26.6
302,37.2,26.9
303,37.8,26.5
304,37.2,26.9
305,37.3,26.8
306,37.9,26.4
307,37.6,26.6
308,37.6,26.6
309,37.3,26.8
310,37.3,26.8
311,37.3,26.8
312,37.6,26.6
313,37.4,26.8
314,37.8,26.5
315,36.8,27.2
316,37.3,26.8
317,37.6,26.6
318,37.7,26.6
319,37.2,26.9
320,37.5,26.7
321,38.0,26.3
322,37.4,26.8
323,37.6,26.6
324,37.6,26.6
325,36.6,27.3
326,36.9,27.1
327,37.4,26.7
328,37.0,27.0
329,37.0,27.0
330,37.5,26.6
331,37.8,26.4
332,37.0,27.0
333,37.5,26.7
334,37.4,26.7
335,37.4,26.8
336,37.5,26.7
337,36.9,27.1
338,37.3,26.8
339,37.7,26.5
340,37.4,26.8
341,37.5,26.6
342,37.6,26.6
343,37.7,26.5
344,37.8,26.4
345,37.1,26.9
346,37.8,26.5
347,37.5,26.7
348,37.6,26.6
349,37.2,26.9
350,37.3,26.8
351,37.6,26.6
352,37.5,26.7
353,37.4,26.7
354,37.1,27.0
355,38.0,26.3
356,37.6,26.6
357,37.5,26.7
358,37.4,26.8
359,38.1,26.2
360,37.5,26.6
361,37.6,26.6
362,38.7,25.9
363,37.6,26.6
364,36.9,27.1
365,37.6,26.6
366,37.2,26.9
367,37.9,26.4
368,37.6,26.6
369,37.1,27.0
370,37.9,26.4
371,36.7,27.3
372,37.5,26.7
373,37.1,27.0
374,37.3,26.8
375,37.8,26.5
376,37.5,26.6
377,36.9,27.1
378,37.6,26.6
379,37.4,26.7
380,37.1,26.9
381,37.3,26.8
382,37.1,27.0
383,37.3,26.8
384,37.6,26.6
385,37.9,26.4
386,37.4,26.7
387,36.1,27.7
388,37.1,27.0
389,37.0,27.0
390,37.2,26.9
391,37.3,26.8
392,37.3,26.8
393,37.3,26.8
394,37.5,26.6
395,37.4,26.7
396,37.9,26.4
397,37.9,26.4
398,37.0,27.0
399,37.4,26.7
400,37.0,27.0
401,37.9,26.4
402,37.1,26.9
403,37.3,26.8
404,37.3,26.8
405,37.7,26.6
406,37.1,27.0
407,38.0,26.3
408,37.9,26.4
409,37.6,26.6
410,37.0,27.0
411,36.6,27.3
412,37.2,26.9
413,37.8,26.5
414,37.4,26.8
415,37.9,26.4
416,37.4,26.8
417,37.3,26.8
418,37.2,26.9
419,37.2,26.9
420,37.3,26.8
421,37.3,26.8
422,37.0,27.0
423,37.2,26.9
424,37.5,26.6
425,37.4,26.8
426,38.0,26.3
427,37.4,26.7
428,37.2,26.9
429,37.3,26.8
430,37.6,26.6
431,37.5,26.7
432,37.6,26.6
433,37.6,26.6
434,37.2,26.9
435,36.8,27.2
436,37.7,26.5
437,37.5,26.7
438,37.2,26.9
439,36.8,27.2
440,37.2,26.9
441,37.5,26.7
442,37.4,26.7
443,37.6,26.6
444,37.8,26.5
445,37.7,26.5
446,37.3,26.8
447,36.8,27.2
448,38.3,26.1
449,36.9,27.1
450,37.2,26.9
451,37.9,26.4
452,37.2,26.9
453,37.6,26.6
454,37.7,26.5
455,37.3,26.8
456,36.9,27.1
457,37.4,26.7
458,37.4,26.7
459,37.5,26.7
460,37.4,26.7
461,37.0,27.1
462,37.5,26.7
463,37.2,26.9
464,38.0,26.3
465,37.0,27.0
466,36.9,27.1
467,37.9,26.4
468,37.2,26.9
469,37.4,26.7
470,37.1,26.9
471,36.8,27.1
472,38.0,26.3
473,36.9,27.1
474,37.0,27.0
475,37.4,26.7
476,37.2,26.9
477,37.7,26.5
478,37.4,26.8
479,37.8,26.4
480,37.1,27.0
481,36.7,27.3
482,37.2,26.9
483,37.5,26.7
484,36.7,27.3
485,37.5,26.7
486,37.0,27.0
487,38.0,26.3
488,37.8,26.5
489,38.5,26.0
490,37.2,26.9
491,37.8,26.5
492,37.6,26.6
493,37.6,26.6
494,37.4,26.7
495,37.7,26.5
496,37.2,26.9
497,36.8,27.2
498,36.9,27.1
499,37.2,26.9
500,37.7,26.5
501,37.0,27.0
502,36.8,27.1
503,37.6,26.6
504,37.4,26.7
505,37.4,26.8
506,37.5,26.7
507,37.3,26.8
508,37.1,27.0
509,37.6,26.6
510,36.5,27.4
511,37.1,26.9
512,37.1,26.9
513,37.5,26.7
514,37.2,26.9
515,37.9,26.4
516,37.7,26.5
517,37.5,26.7
518,37.9,26.4
519,38.2,26.2
520,37.0,27.0
521,37.6,26.6
522,38.1,26.2
523,36.8,27.1
524,37.7,26.5
525,37.0,27.0
526,37.7,26.5
527,36.9,27.1
528,37.4,26.8
529,37.0,27.0
530,38.2,26.2
531,36.9,27.1
532,37.1,27.0
533,37.6,26.6
534,37.3,26.8
535,37.1,27.0
536,37.3,26.8
537,37.8,26.5
538,37.6,26.6
539,37.4,26.7
540,37.3,26.8
541,36.3,27.5
542,36.9,27.1
543,36.7,27.2
544,37.6,26.6
545,37.1,27.0
546,37.7,26.5
547,38.0,26.3
548,37.5,26.6
549,37.9,26.4
550,37.7,26.5
551,37.0,27.0
552,37.8,26.5
553,37.4,26.7
554,37.3,26.8
555,37.7,26.6
556,37.4,26.8
557,37.3,26.8
558,37.9,26.4
559,37.4,26.7
560,37.0,27.0
561,37.3,26.8
562,37.4,26.7
563,37.4,26.7
564,37.1,26.9
565,37.6,26.6
566,37.3,26.8
567,37.5,26.6
568,37.2,26.9
569,37.9,26.4
570,37.4,26.7
571,37.5,26.6
572,36.9,27.1
573,37.1,26.9
574,37.2,26.9
575,37.5,26.7
576,37.5,26.7
577,37.7,26.5
578,37.2,26.9
579,38.0,26.3
580,37.1,27.0
581,37.7,26.5
582,37.1,26.9
583,37.3,26.8
584,37.2,26.8
585,37.6,26.6
586,37.0,27.0
587,37.5,26.7
588,37.9,26.4
589,37.1,26.9
590,37.9,26.4
591,38.0,26.3
592,38.2,26.2
593,37.7,26.5
594,37.0,27.0
595,37.9,26.4
596,37.1,27.0
597,37.0,27.0
598,37.1,26.9
599,37.2,26.9
600,36.5,27.4
601,37.0,27.0
602,37.6,26.6
603,37.3,26.8
604,37.7,26.5
605,36.8,27.1
606,37.0,27.0
607,37.2,26.9
608,36.7,27.3
609,36.8,27.1
610,36.9,27.1
611,37.9,26.4
612,36.9,27.1
613,37.4,26.8
614,36.4,27.5
615,37.9,26.4
616,37.3,26.8
617,37.4,26.8
618,37.2,26.9
619,37.3,26.8
620,37.2,26.9
621,36.9,27.1
622,36.9,27.1
623,37.2,26.9
624,38.5,26.0
625,37.8,26.5
626,37.4,26.7
627,37.1,27.0
628,37.2,26.9
629,37.6,26.6
630,36.8,27.1
631,37.6,26.6
632,37.7,26.5
633,37.0,27.0
634,37.0,27.0
635,37.6,26.6
636,38.0,26.3
637,37.3,26.8
638,37.2,26.9
639,37.1,27.0
640,37.6,26.6
641,37.3,26.8
642,37.2,26.9
643,37.0,27.1
644,37.2,26.9
645,37.0,27.1
646,36.7,27.2
647,37.8,26.4
648,38.0,26.3
649,36.9,27.1
650,37.5,26.7
651,37.0,27.0
652,37.6,26.6
653,37.7,26.5
654,37.0,27.0
655,37.8,26.5
656,37.6,26.6
657,37.9,26.4
658,36.8,27.1
659,38.0,26.3
660,37.6,26.6
661,37.6,26.6
662,37.6,26.6
663,37.3,26.8
664,37.5,26.7
665,37.9,26.4
666,37.0,27.1
667,38.0,26.3
668,38.1,26.2
669,37.6,26.6
670,36.7,27.2
671,37.6,26.6
672,36.9,27.1
673,37.6,26.6
674,37.2,26.9
675,37.4,26.8
676,37.2,26.9
677,37.2,26.9
678,37.6,26.6
679,38.2,26.2
680,37.5,26.6
681,37.4,26.7
682,37.4,26.7
683,37.7,26.5
684,37.8,26.4
685,37.1,26.9
686,37.3,26.8
687,37.8,26.5
688,36.5,27.4
689,36.4,27.5
690,37.2,26.9
691,37.4,26.8
692,37.2,26.9
693,37.6,26.6
694,36.6,27.3
695,37.3,26.8
696,36.8,27.2
697,37.8,26.4
698,37.6,26.6
699,37.0,27.0
700,37.9,26.4
701,37.6,26.6
702,37.3,26.8
703,37.7,26.5
704,37.5,26.6
705,37.2,26.9
706,37.6,26.6
707,38.0,26.3
708,37.5,26.7
709,36.6,27.4
710,36.7,27.3
711,37.2,26.9
712,37.9,26.4
713,37.6,26.6
714,37.2,26.9
715,37.9,26.4
716,38.0,26.3
717,37.2,26.9
718,36.8,27.2
719,37.3,26.8
720,38.1,26.2
721,37.0,27.0
722,37.7,26.5
723,37.4,26.7
724,36.9,27.1
725,37.7,26.5
726,37.7,26.6
727,36.8,27.1
728,37.2,26.9
729,37.1,27.0
730,37.9,26.4
731,37.1,26.9
732,37.2,26.9
733,37.6,26.6
734,37.1,26.9
735,37.3,26.8
736,37.2,26.9
737,37.7,26.5
738,37.1,27.0
739,37.3,26.8
740,37.3,26.8
741,37.5,26.7
742,37.8,26.4
743,38.2,26.2
744,37.0,27.1
745,38.1,26.2
746,37.3,26.8
747,37.3,26.8
748,36.7,27.3
749,37.5,26.6
750,36.6,27.3
751,37.5,26.7
752,37.2,26.9
753,37.0,27.0
754,36.8,27.2
755,38.1,26.3
756,36.8,27.1
757,37.6,26.6
758,37.5,26.7
759,37.4,26.7
760,37.5,26.6
761,36.8,27.2
762,37.5,26.7
763,37.3,26.8
764,37.5,26.7
765,37.3,26.8
766,37.8,26.4
767,36.8,27.2
768,37.6,26.6
769,37.8,26.5
770,37.3,26.8
771,37.0,27.0
772,37.5,26.7
773,37.7,26.5
774,37.2,26.9
775,36.6,27.3
776,37.6,26.6
777,37.1,26.9
778,36.3,27.5
779,37.6,26.6
780,37.2,26.9
781,37.3,26.8
782,37.3,26.8
783,37.9,26.4
784,37.0,27.1
785,37.8,26.5
786,38.1,26.3
787,36.9,27.1
788,38.0,26.3
789,37.9,26.4
790,37.3,26.8
791,37.6,26.6
792,37.6,26.6
793,37.6,26.6
794,37.8,26.4
795,37.1,27.0
796,37.3,26.8
797,37.4,26.7
798,37.2,26.9
799,36.7,27.2
800,37.0,27.0
801,38.0,26.3
802,37.5,26.7
803,37.4,26.7
804,37.9,26.4
805,36.7,27.2
806,37.1,27.0
807,36.9,27.1
808,36.3,27.5
809,36.8,27.2
810,37.7,26.5
811,36.8,27.2
812,37.4,26.7
813,36.8,27.2
814,37.2,26.9
815,37.2,26.9
816,37.3,26.8
817,37.4,26.8
818,38.4,26.1
819,37.1,27.0
820,37.6,26.6
821,37.9,26.4
822,37.4,26.8
823,37.0,27.0
824,36.2,27.6
825,37.9,26.4
826,37.3,26.8
827,38.0,26.3
828,36.6,27.3
829,37.9,26.4
830,37.3,26.8
831,38.3,26.1
832,37.5,26.6
833,36.7,27.2
834,36.6,27.3
835,37.0,27.0
836,36.8,27.1
837,38.0,26.3
838,37.7,26.5
839,37.2,26.9
840,37.2,26.9
841,37.5,26.7
842,37.6,26.6
843,36.6,27.3
844,37.6,26.6
845,36.9,27.1
846,37.5,26.7
847,36.7,27.2
848,37.4,26.8
849,37.1,27.0
850,37.7,26.5
851,37.3,26.8
852,37.7,26.5
853,37.3,26.8
854,37.6,26.6
855,37.5,26.7
856,37.8,26.5
857,38.2,26.2
858,37.8,26.5
859,38.1,26.2
860,37.3,26.8
861,37.6,26.6
862,37.7,26.5
863,37.5,26.7
864,37.6,26.6
865,37.5,26.7
866,37.3,26.8
867,37.4,26.8
868,37.5,26.6
869,37.5,26.7
870,37.4,26.8
871,37.2,26.9
872,37.1,26.9
873,38.1,26.2
874,37.2,26.9
875,37.2,26.9
876,38.2,26.2
877,37.2,26.9
878,37.5,26.7
879,37.5,26.7
880,37.8,26.5
881,37.5,26.7
882,37.2,26.9
883,37.5,26.7
884,36.6,27.3
885,36.4,27.5
886,37.6,26.6
887,37.9,26.4
888,38.1,26.2
889,37.3,26.8
890,37.4,26.7
891,37.2,26.9
892,37.1,27.0
893,36.7,27.2
894,37.2,26.9
895,37.5,26.7
896,38.1,26.3
897,37.6,26.6
898,37.1,26.9
899,37.3,26.8
900,37.7,26.5
901,37.8,26.5
902,36.5,27.4
903,37.5,26.6
904,37.7,26.5
905,37.8,26.5
906,37.1,26.9
907,37.3,26.8
908,36.8,27.1
909,37.4,26.8
910,37.2,26.9
911,38.3,26.1
912,37.4,26.7
913,37.9,26.4
914,37.6,26.6
915,37.2,26.8
916,38.0,26.3
917,37.7,26.5
918,37.3,26.8
919,37.5,26.7
920,36.9,27.1
921,38.0,26.3
922,37.1,26.9
923,37.1,27.0
924,36.9,27.1
925,37.7,26.5
926,37.1,26.9
927,37.7,26.5
928,37.7,26.5
929,37.6,26.6
930,37.5,26.7
931,37.9,26.4
932,37.3,26.8
933,37.5,26.7
934,36.5,27.4
935,37.3,26.8
936,37.8,26.5
937,37.0,27.1
938,36.7,27.3
939,37.1,26.9
940,37.1,27.0
941,37.5,26.7
942,37.7,26.6
943,37.5,26.7
944,38.8,25.7
945,37.5,26.7
946,37.6,26.6
947,37.3,26.8
948,36.9,27.1
949,37.6,26.6
950,38.1,26.3
951,36.8,27.2
952,37.0,27.0
953,37.1,26.9
954,37.9,26.4
955,37.3,26.8
956,36.9,27.1
957,37.5,26.7
958,36.8,27.2
959,36.8,27.1
960,37.6,26.6
961,37.2,26.9
962,37.6,26.6
963,37.2,26.8
964,37.6,26.6
965,37.4,26.7
966,37.3,26.8
967,37.4,26.7
968,37.2,26.9
969,37.7,26.5
970,37.3,26.8
971,37.7,26.5
972,37.5,26.7
973,37.6,26.6
974,37.8,26.5
975,37.2,26.9
976,37.7,26.5
977,36.4,27.5
978,37.3,26.8
979,36.6,27.3
980,38.0,26.3
981,37.9,26.4
982,37.4,26.8
983,37.8,26.4
984,37.3,26.8
985,37.4,26.7
986,37.4,26.7
987,37.2,26.9
988,37.6,26.6
989,36.5,27.4
990,37.3,26.8
991,37.9,26.4
992,37.4,26.8
993,37.4,26.8
994,37.5,26.7
995,36.7,27.2
996,36.7,27.2
997,37.4,26.7
998,37.2,26.9
999,37.8,26.5
1000,37.3,26.8
1001,37.2,26.9
1002,37.4,26.7
1003,38.1,26.3
1004,38.1,26.2
1005,37.8,26.5
1006,37.3,26.8
1007,37.8,26.4
1008,37.2,26.9
1009,38.5,26.0
1010,36.9,27.1
1011,36.6,27.3
1012,37.4,26.7
1013,37.4,26.7
1014,37.4,26.8
1015,36.9,27.1
1016,37.4,26.7
1017,36.9,27.1
1018,37.7,26.5
1019,37.0,27.0
1020,37.2,26.9
1021,38.4,26.1
1022,37.8,26.5
1023,37.6,26.6
1024,37.1,27.0
1025,37.3,26.8
1026,37.8,26.5
1027,37.5,26.6
1028,38.0,26.3
1029,38.5,26.0
1030,37.4,26.7
1031,37.0,27.0
1032,37.8,26.5
1033,37.4,26.8
1034,38.2,26.2
1035,37.6,26.6
1036,38.2,26.2
1037,37.6,26.6
1038,37.1,27.0
1039,37.5,26.7
1040,37.1,26.9
1041,37.9,26.4
1042,36.8,27.2
1043,38.0,26.3
1044,37.1,27.0
1045,37.5,26.6
1046,37.6,26.6
1047,37.7,26.5
1048,36.9,27.1
1049,37.9,26.4
1050,37.5,26.7
1051,37.4,26.7
1052,36.5,27.4
1053,37.3,26.8
1054,37.0,27.1
1055,36.0,27.8
1056,37.3,26.8
1057,36.9,27.1
1058,38.1,26.3
1059,37.7,26.6
1060,37.4,26.8
1061,36.9,27.1
1062,37.6,26.6
1063,37.7,26.5
1064,37.7,26.5
1065,36.9,27.1
1066,37.5,26.6
1067,37.3,26.8
1068,37.5,26.6
1069,36.8,27.2
1070,37.7,26.5
1071,37.6,26.6
1072,37.2,26.9
1073,37.5,26.7
1074,36.8,27.2
1075,37.5,26.7
1076,37.8,26.5
1077,37.1,27.0
1078,36.8,27.2
1079,37.6,26.6
1080,37.6,26.6
1081,38.3,26.1
1082,37.8,26.4
1083,37.6,26.6
1084,37.4,26.7
1085,37.1,26.9
1086,37.3,26.8
1087,37.7,26.5
1088,37.1,27.0
1089,37.1,26.9
1090,37.9,26.4
1091,36.9,27.1
1092,37.6,26.6
1093,37.5,26.7
1094,37.5,26.6
1095,37.6,26.6
1096,37.7,26.5
1097,38.4,26.0
1098,36.9,27.1
1099,37.3,26.8
1100,37.5,26.7
1101,38.0,26.3
1102,37.2,26.8
1103,36.9,27.1
1104,37.9,26.4
1105,37.7,26.5
1106,36.5,27.4
1107,36.9,27.1
1108,37.0,27.0
1109,36.9,27.1
1110,36.5,27.4
1111,37.3,26.8
1112,38.1,26.3
1113,37.3,26.8
1114,36.7,27.2
1115,37.1,27.0
1116,37.4,26.7
1117,37.8,26.4
1118,37.6,26.6
1119,37.6,26.6
1120,37.5,26.7
1121,37.9,26.4
1122,37.9,26.4
1123,37.2,26.9
1124,37.7,26.5
1125,36.7,27.2
1126,37.9,26.4
1127,36.9,27.1
1128,37.9,26.4
1129,36.7,27.3
1130,37.7,26.5
1131,37.4,26.7
1132,37.3,26.8
1133,38.0,26.3
1134,37.0,27.0
1135,37.6,26.6
1136,37.8,26.5
1137,37.2,26.9
1138,37.7,26.6
1139,37.1,26.9
1140,37.3,26.8
1141,37.3,26.8
1142,37.2,26.9
1143,37.4,26.8
1144,38.3,26.1
1145,37.5,26.6
1146,37.7,26.5
1147,37.6,26.6
1148,38.2,26.1
1149,37.1,27.0
1150,37.0,27.0
1151,38.1,26.2
1152,36.7,27.2
1153,37.2,26.9
1154,37.8,26.5
1155,37.2,26.9
1156,37.3,26.8
1157,38.6,25.9
1158,37.2,26.9
1159,38.0,26.3
1160,36.5,27.4
1161,37.2,26.9
1162,37.2,26.9
1163,37.5,26.7
1164,36.9,27.1
1165,37.6,26.6
1166,37.2,26.9
1167,37.3,26.8
1168,37.4,26.8
1169,37.6,26.6
1170,37.8,26.5
1171,37.5,26.7
1172,37.1,26.9
1173,37.0,27.0
1174,37.9,26.4
1175,37.6,26.6
1176,37.4,26.7
1177,37.0,27.0
1178,37.5,26.7
1179,37.6,26.6
1180,37.1,26.9
1181,36.7,27.2
1182,37.3,26.8
1183,37.3,26.8
1184,37.5,26.7
1185,37.7,26.5
1186,38.1,26.2
1187,37.7,26.5
1188,37.2,26.9
1189,37.4,26.7
1190,37.4,26.7
1191,37.6,26.6
1192,37.7,26.5
1193,37.4,26.7
1194,37.9,26.4
1195,37.3,26.8
1196,37.4,26.8
1197,36.9,27.1
1198,37.7,26.5
1199,37.9,26.4
1200,36.9,27.1
1201,37.4,26.7
1202,37.3,26.8
1203,37.0,27.0
1204,37.2,26.9
1205,37.7,26.5
1206,37.5,26.7
1207,38.2,26.2
1208,37.0,27.0
1209,37.8,26.5
1210,36.3,27.6
1211,36.4,27.5
1212,38.0,26.3
1213,37.7,26.5
1214,37.4,26.7
1215,37.2,26.9
1216,37.6,26.6
1217,36.8,27.1
1218,37.3,26.8
1219,37.7,26.5
1220,37.3,26.8
1221,37.4,26.7
1222,37.4,26.8
1223,37.2,26.9
1224,37.1,27.0
1225,37.0,27.0
1226,37.4,26.7
1227,37.3,26.8
1228,37.7,26.6
1229,37.3,26.8
1230,36.8,27.2
1231,36.9,27.1
1232,38.3,26.1
1233,37.0,27.0
1234,37.1,27.0
1235,37.2,26.9
1236,37.6,26.6
1237,37.5,26.7
1238,37.4,26.8
1239,37.2,26.8
1240,37.1,26.9
1241,37.3,26.8
1242,37.3,26.8
1243,37.7,26.6
1244,37.1,27.0
1245,38.0,26.3
1246,38.2,26.1
1247,36.7,27.2
1248,36.5,27.4
1249,37.7,26.5
1250,38.2,26.2
1251,37.3,26.8
1252,37.2,26.9
1253,37.6,26.6
1254,37.3,26.8
1255,37.5,26.6
1256,37.5,26.6
1257,37.5,26.7
1258,37.5,26.7
1259,37.5,26.7
1260,37.2,26.8
1261,38.1,26.2
1262,38.0,26.3
1263,36.8,27.1
1264,37.7,26.6
1265,37.9,26.4
1266,37.0,27.0
1267,36.9,27.1
1268,37.2,26.9
1269,37.6,26.6
1270,37.0,27.0
1271,37.6,26.6
1272,38.3,26.1
1273,37.3,26.8
1274,38.0,26.3
1275,37.4,26.8
1276,37.8,26.5
1277,36.9,27.1
1278,36.3,27.5
1279,36.8,27.1
1280,37.5,26.7
1281,37.5,26.7
1282,37.8,26.4
1283,37.4,26.7
1284,37.7,26.5
1285,36.9,27.1
1286,37.6,26.6
1287,36.9,27.1
1288,38.0,26.3
1289,38.0,26.3
1290,38.1,26.3
1291,37.0,27.0
1292,37.5,26.7
1293,37.1,27.0
1294,36.6,27.3
1295,37.9,26.4
1296,37.7,26.5
1297,38.1,26.3
1298,38.3,26.1
1299,37.7,26.5
1300,37.2,26.9
1301,37.7,26.5
1302,37.1,27.0
1303,37.5,26.7
1304,37.7,26.6
1305,37.3,26.8
1306,37.1,26.9
1307,36.8,27.2
1308,37.1,26.9
1309,37.7,26.5
1310,37.2,26.9
1311,36.6,27.4
1312,37.0,27.0
1313,37.0,27.1
1314,37.3,26.8
1315,36.8,27.1
1316,37.5,26.7
1317,38.3,26.1
1318,37.4,26.7
1319,37.4,26.8
1320,37.2,26.9
1321,37.3,26.8
1322,38.3,26.1
1323,37.0,27.0
1324,37.4,26.7
1325,37.8,26.5
1326,37.1,26.9
1327,37.0,27.0
1328,37.2,26.9
1329,37.3,26.8
1330,37.8,26.4
1331,37.3,26.8
1332,37.3,26.8
1333,36.5,27.4
1334,37.8,26.4
1335,37.1,27.0
1336,36.8,27.2
1337,37.1,26.9
1338,37.4,26.7
1339,37.3,26.8
1340,38.0,26.3
1341,37.0,27.0
1342,37.1,27.0
1343,38.1,26.2
1344,37.0,27.0
1345,37.5,26.7
1346,36.9,27.1
1347,37.3,26.8
1348,38.1,26.2
1349,37.9,26.4
1350,37.5,26.6
1351,36.3,27.5
1352,37.2,26.9
1353,37.3,26.8
1354,37.6,26.6
1355,37.1,26.9
1356,37.6,26.6
1357,37.4,26.8
1358,38.0,26.3
1359,37.5,26.6
