timestamp_s,ram_mb,gpu_mem_mb
557,1858,613
558,1821,607
559,1856,607
560,1878,608
561,1840,620
562,1838,606
563,1833,606
564,1845,609
565,1852,608
566,1870,604
567,1845,612
568,1857,611
569,1849,606
570,1867,620
571,1861,606
572,1867,608
573,1811,613
574,1839,604
575,1827,617
576,1859,609
577,1837,623
578,1838,620
579,1879,603
580,1854,625
581,1857,612
582,1869,610
583,1851,598
584,1832,602
585,1835,608
586,1815,593
587,1816,612
588,1854,624
589,1849,605
590,1847,610
591,1852,619
592,1841,608
593,1871,615
594,1858,608
595,1828,616
596,1883,621
597,1865,612
598,1869,618
599,1850,633
600,1862,617
601,1866,594
602,1827,612
603,1833,608
604,1860,615
605,1849,625
606,1855,606
607,1827,611
608,1867,637
609,1856,618
610,1859,621
611,1841,623
612,1870,614
613,1864,618
614,1864,606
615,1877,617
616,1860,615
617,1843,616
618,1844,601
619,1830,619
620,1830,606
621,1848,615
622,1861,610
623,1870,622
624,1875,609
625,1848,600
626,1855,623
627,1842,601
628,1853,611
629,1866,608
630,1837,619
631,1836,610
632,1849,618
633,1831,598
634,1871,612
635,1841,619
636,1847,598
637,1832,610
638,1862,619
639,1842,617
640,1855,611
641,1837,610
642,1856,600
643,1828,618
644,1847,625
645,1826,606
646,1869,602
647,1868,606
648,1836,614
649,1837,591
650,1830,614
651,1841,604
652,1823,617
653,1837,621
654,1877,616
655,1850,619
656,1868,605
657,1879,613
658,1853,606
659,1857,614
660,1837,606
661,1845,603
662,1851,603
663,1855,599
664,1869,626
665,1837,614
666,1833,611
667,1829,610
668,1841,607
669,1849,612
670,1879,611
671,1847,616
672,1880,615
673,1880,607
674,1849,612
675,1839,621
676,1867,621
677,1875,605
678,1863,618
679,1823,603
680,1819,602
681,1841,622
682,1858,613
683,1859,603
684,1877,614
685,1864,595
686,1838,620
687,1830,614
688,1873,604
689,1861,619
690,1815,606
691,1878,616
692,1835,616
693,1826,616
694,1854,616
695,1857,613
696,1865,619
697,1837,608
698,1843,605
699,1849,614
700,1852,617
701,1840,610
702,1871,616
703,1866,619
704,1839,608
705,1847,610
706,1859,624
707,1828,610
708,1869,622
709,1884,623
710,1860,613
711,1883,602
712,1845,614
713,1822,610
714,1851,611
715,1856,597
716,1849,616
717,1828,620
718,1866,605
719,1858,606
720,1845,611
721,1860,608
722,1865,618
723,1863,608
724,1871,621
725,1812,618
726,1849,615
727,1897,606
728,1866,626
729,1873,607
730,1864,614
731,1887,621
732,1862,615
733,1855,618
734,1863,604
735,1876,605
736,1836,596
737,1869,609
738,1893,615
739,1851,606
740,1838,616
741,1832,610
742,1846,615
743,1870,630
744,1822,608
745,1838,615
746,1834,616
747,1861,616
748,1837,605
749,1857,618
750,1863,607
751,1829,612
752,1865,620
753,1847,615
754,1848,602
755,1842,620
756,1875,605
757,1858,614
758,1854,615
759,1825,605
760,1870,625
761,1875,612
762,1839,620
763,1841,604
764,1885,629
765,1856,618
766,1847,605
767,1900,624
768,1866,603
769,1821,591
770,1883,609
771,1882,609
772,1854,614
773,1856,614
774,1868,611
775,1862,606
776,1831,609
777,1830,607
778,1840,606
779,1847,611
780,1840,608
781,1853,619
782,1824,592
783,1870,607
784,1826,620
785,1881,613
786,1853,606
787,1869,614
788,1834,618
789,1831,601
790,1874,619
791,1869,599
792,1885,612
793,1862,616
794,1856,627
795,1845,610
796,1847,597
797,1836,614
798,1894,621
799,1869,608
800,1848,612
801,1839,613
802,1825,622
803,1840,614
804,1854,610
805,1815,608
806,1824,617
807,1865,617
808,1825,618
809,1879,611
810,1839,627
811,1850,617
812,1884,598
813,1871,621
814,1832,618
815,1865,610
816,1863,616
817,1855,614
818,1834,601
819,1847,622
820,1872,607
821,1810,611
822,1842,617
823,1855,616
824,1849,614
825,1857,614
826,1839,602
827,1818,604
828,1843,614
829,1853,633
830,1846,606
831,1864,606
832,1837,613
833,1877,607
834,1855,601
835,1856,619
836,1849,605
837,1833,617
838,1866,621
839,1842,609
840,1859,600
841,1827,611
842,1855,599
843,1872,604
844,1856,633
845,1840,613
846,1807,605
847,1852,612
848,1847,605
849,1854,599
850,1855,602
851,1862,608
852,1863,616
853,1818,616
854,1846,609
855,1840,617
856,1845,609
857,1862,611
858,1861,597
859,1854,615
860,1850,599
861,1867,600
862,1834,612
863,1861,604
864,1854,626
865,1825,612
866,1850,605
867,1852,618
868,1826,614
869,1855,619
870,1845,602
871,1823,613
872,1859,623
873,1850,622
874,1824,614
875,1836,615
876,1854,603
877,1852,603
878,1872,620
879,1808,611
880,1854,616
881,1848,609
882,1881,602
883,1827,609
884,1880,605
885,1833,622
886,1848,608
887,1870,615
888,1880,612
889,1849,613
890,1858,615
891,1841,606
892,1875,601
893,1857,609
894,1842,616
895,1856,609
896,1847,603
897,1851,612
898,1834,604
899,1858,615
900,1836,608
901,1858,601
902,1835,608
903,1854,613
904,1860,608
905,1855,612
906,1839,610
907,1883,616
908,1841,600
909,1873,613
910,1875,611
911,1876,588
912,1866,613
913,1856,624
914,1846,609
915,1860,616
916,1831,602
917,1846,613
918,1831,607
919,1849,611
920,1832,613
921,1874,615
922,1845,612
923,1841,612
924,1859,620
925,1835,613
926,1846,622
927,1852,617
928,1839,611
929,1863,610
930,1833,621
931,1855,623
932,1827,616
933,1884,623
934,1857,612
935,1816,616
936,1846,610
937,1867,608
938,1849,610
939,1833,595
940,1841,604
941,1859,608
942,1827,603
943,1865,608
944,1822,612
945,1865,603
946,1881,613
947,1836,613
948,1868,604
949,1865,601
950,1847,616
951,1850,617
952,1847,614
953,1871,630
954,1883,619
955,1841,627
956,1843,621
957,1871,600
958,1888,608
959,1864,614
960,1878,596
961,1824,607
962,1870,622
963,1823,607
964,1844,618
965,1877,621
966,1856,609
967,1840,609
968,1861,606
969,1859,612
970,1830,622
971,1847,607
972,1868,615
973,1856,609
974,1849,627
975,1847,624
976,1873,606
977,1876,613
978,1862,607
979,1835,611
980,1855,611
981,1879,612
982,1846,614
983,1815,621
984,1864,614
985,1848,619
986,1848,612
987,1838,611
988,1854,607
989,1834,631
990,1843,618
991,1850,602
992,1859,626
993,1839,609
994,1842,618
995,1867,611
996,1844,611
997,1861,606
998,1827,604
999,1862,598
1000,1865,602
1001,1871,606
1002,1825,591
1003,1843,620
1004,1842,623
1005,1824,607
1006,1836,615
1007,1843,626
1008,1840,605
1009,1821,622
1010,1835,617
1011,1869,616
1012,1862,619
1013,1872,611
1014,1817,606
1015,1834,611
1016,1856,614
1017,1845,622
1018,1872,604
1019,1854,607
1020,1824,604
1021,1832,609
1022,1841,614
1023,1853,604
1024,1802,601
1025,1837,616
1026,1854,607
1027,1849,611
1028,1867,598
1029,1832,605
1030,1810,604
1031,1832,619
1032,1833,607
1033,1870,615
1034,1840,613
1035,1849,601
1036,1874,616
1037,1871,617
1038,1872,594
1039,1860,602
1040,1871,624
1041,1868,613
1042,1856,609
1043,1851,624
1044,1898,626
1045,1850,609
1046,1853,619
1047,1883,606
1048,1845,615
1049,1832,599
1050,1872,602
1051,1840,610
1052,1829,622
1053,1865,623
1054,1819,626
1055,1833,621
1056,1838,611
1057,1822,595
1058,1848,592
1059,1844,598
1060,1867,613
1061,1853,604
1062,1858,609
1063,1873,618
1064,1864,618
1065,1863,613
1066,1855,600
1067,1814,613
1068,1853,616
1069,1832,611
1070,1882,612
1071,1825,616
1072,1855,613
1073,1860,606
1074,1865,609
1075,1861,624
1076,1863,607
1077,1875,603
1078,1873,620
1079,1848,614
1080,1855,617
1081,1839,618
1082,1855,622
1083,1833,611
1084,1834,613
1085,1832,614
1086,1856,613
1087,1827,614
1088,1857,609
1089,1863,625
1090,1847,625
1091,1834,605
1092,1862,615
1093,1843,615
1094,1867,603
1095,1847,599
1096,1847,610
1097,1849,615
1098,1855,607
1099,1844,613
1100,1856,607
1101,1859,615
1102,1833,627
1103,1873,618
1104,1838,625
1105,1868,608
1106,1859,611
1107,1868,599
1108,1847,602
1109,1823,611
1110,1848,614
1111,1813,624
1112,1835,609
1113,1820,620
1114,1861,614
1115,1824,614
1116,1854,627
1117,1833,609
1118,1843,607
1119,1875,607
1120,1863,621
1121,1836,612
1122,1839,598
1123,1859,607
1124,1843,611
1125,1861,610
1126,1826,604
1127,1878,604
1128,1859,607
1129,1880,622
1130,1847,616
1131,1854,605
1132,1837,617
1133,1871,603
1134,1838,611
1135,1859,619
1136,1866,623
1137,1851,621
1138,1839,607
1139,1852,609
1140,1859,619
1141,1845,613
1142,1856,599
1143,1828,614
1144,1822,611
1145,1848,620
1146,1850,615
1147,1888,600
1148,1851,595
1149,1847,598
1150,1875,600
1151,1851,626
1152,1848,615
1153,1856,604
1154,1826,617
1155,1886,610
1156,1866,616
1157,1900,613
1158,1814,597
1159,1851,600
1160,1859,613
1161,1860,618
1162,1842,617
1163,1893,609
1164,1861,617
1165,1852,610
1166,1834,624
1167,1843,637
1168,1856,612
1169,1863,609
1170,1847,605
1171,1817,605
1172,1846,620
1173,1862,602
1174,1844,606
1175,1880,605
1176,1854,611
1177,1838,604
1178,1840,618
1179,1850,620
1180,1824,602
1181,1849,613
1182,1833,612
1183,1813,624
1184,1861,617
1185,1820,631
1186,1859,618
1187,1877,623
1188,1847,601
1189,1859,611
1190,1850,614
1191,1840,603
1192,1845,616
1193,1862,611
1194,1890,613
1195,1861,619
1196,1828,604
1197,1863,600
1198,1855,615
1199,1842,616
1200,1863,619
1201,1856,616
1202,1859,611
1203,1860,612
1204,1858,614
1205,1853,604
1206,1838,620
1207,1843,609
1208,1894,618
1209,1846,621
1210,1856,611
1211,1837,613
1212,1833,603
1213,1848,609
1214,1886,608
1215,1874,615
1216,1873,593
1217,1873,607
1218,1841,601
1219,1890,604
1220,1835,593
1221,1868,618
1222,1817,617
1223,1860,617
1224,1855,617
1225,1866,609
1226,1846,608
1227,1864,617
1228,1832,619
1229,1829,611
1230,1869,602
1231,1853,618
1232,1857,599
1233,1834,609
1234,1837,613
1235,1856,600
1236,1847,619
1237,1877,626
1238,1845,615
1239,1846,613
1240,1889,594
1241,1880,619
1242,1816,618
1243,1838,621
1244,1848,607
1245,1860,610
1246,1880,611
1247,1843,620
1248,1856,611
1249,1811,610
1250,1822,608
1251,1838,593
1252,1885,606
1253,1831,619
1254,1856,608
1255,1856,617
1256,1851,613
1257,1873,605
1258,1874,611
1259,1840,624
1260,1864,628
1261,1881,613
1262,1835,606
1263,1859,617
1264,1869,615
1265,1826,626
1266,1859,604
1267,1819,605
1268,1872,602
1269,1874,612
1270,1829,616
1271,1859,603
1272,1876,610
1273,1870,619
1274,1833,618
1275,1820,605
1276,1851,606
1277,1864,616
1278,1844,608
1279,1849,598
1280,1834,610
1281,1841,602
1282,1849,603
1283,1867,606
1284,1869,606
1285,1843,613
1286,1867,610
1287,1830,625
1288,1855,613
1289,1842,618
1290,1838,602
1291,1862,597
1292,1849,615
1293,1850,601
1294,1835,598
1295,1800,609
1296,1861,616
1297,1839,622
1298,1846,621
1299,1839,600
1300,1858,604
1301,1867,624
1302,1824,614
1303,1829,618
1304,1842,623
1305,1820,625
1306,1868,615
1307,1865,614
1308,1852,608
1309,1844,609
1310,1855,597
1311,1845,612
1312,1844,617
1313,1862,614
1314,1820,609
1315,1850,604
1316,1843,618
1317,1862,618
1318,1861,611
1319,1864,623
1320,1820,610
1321,1863,611
1322,1844,603
1323,1868,604
1324,1842,601
1325,1852,605
1326,1838,612
1327,1852,624
1328,1831,609
1329,1841,612
1330,1880,618
1331,1891,607
1332,1850,606
1333,1839,623
1334,1857,613
1335,1859,620
1336,1884,609
1337,1845,600
1338,1829,615
1339,1832,620
1340,1860,614
1341,1838,608
1342,1872,608
1343,1818,608
1344,1855,610
1345,1851,630
1346,1852,618
1347,1872,610
1348,1820,623
1349,1847,612
1350,1868,598
1351,1875,615
1352,1829,595
1353,1833,616
1354,1878,618
1355,1830,608
1356,1845,625
1357,1829,617
1358,1860,613
1359,1838,609
1360,1847,613
1361,1822,617
1362,1838,612
1363,1842,605
1364,1852,620
1365,1855,612
1366,1869,611
1367,1839,619
1368,1834,626
1369,1891,601
1370,1852,616
1371,1879,612
1372,1814,606
1373,1842,612
1374,1861,620
1375,1880,604
1376,1870,614
1377,1861,631
1378,1844,610
1379,1857,603
1380,1832,600
1381,1802,616
1382,1845,607
1383,1853,604
1384,1849,607
1385,1858,624
1386,1899,608
1387,1853,608
1388,1851,615
1389,1821,602
1390,1848,596
1391,1820,611
1392,1853,610
1393,1855,612
1394,1839,607
1395,1859,599
1396,1846,623
1397,1876,607
1398,1859,633
1399,1845,614
1400,1833,611
1401,1875,625
1402,1852,603
1403,1869,607
1404,1833,604
1405,1864,609
1406,1833,606
1407,1836,628
1408,1819,592
1409,1846,616
1410,1850,627
1411,1834,606
1412,1835,612
1413,1885,610
1414,1840,613
1415,1867,611
1416,1863,615
1417,1836,605
1418,1869,603
1419,1800,611
1420,1868,608
1421,1855,631
1422,1838,607
1423,1850,606
1424,1844,602
1425,1881,611
1426,1837,604
1427,1856,617
1428,1843,608
1429,1841,602
1430,1838,605
1431,1848,592
1432,1870,591
1433,1859,619
1434,1821,614
1435,1837,603
1436,1889,623
1437,1858,596
1438,1860,604
1439,1847,625
1440,1880,605
1441,1860,616
1442,1828,605
1443,1840,607
1444,1833,613
1445,1838,599
1446,1824,614
1447,1855,603
1448,1864,618
1449,1853,620
1450,1830,603
1451,1873,627
1452,1863,596
1453,1820,606
1454,1870,613
1455,1828,613
1456,1855,612
1457,1863,609
1458,1859,609
1459,1834,611
1460,1887,620
1461,1836,611
1462,1852,611
1463,1866,597
1464,1847,618
1465,1875,618
1466,1857,607
1467,1846,614
1468,1880,605
1469,1868,604
1470,1865,618
1471,1870,608
1472,1856,598
1473,1855,615
1474,1894,601
1475,1864,601
1476,1862,613
1477,1853,604
1478,1849,608
1479,1832,615
1480,1871,604
1481,1887,607
1482,1877,596
1483,1871,605
1484,1844,621
1485,1841,612
1486,1889,607
1487,1874,611
1488,1878,621
1489,1859,607
1490,1808,610
1491,1859,610
1492,1853,609
1493,1846,615
1494,1860,612
1495,1812,622
1496,1873,611
1497,1873,612
1498,1837,616
1499,1845,622
1500,1870,601
1501,1828,616
1502,1875,626
1503,1849,617
1504,1881,615
1505,1839,616
1506,1826,609
1507,1878,603
1508,1836,622
1509,1865,621
1510,1848,615
1511,1851,620
1512,1850,617
1513,1829,600
1514,1824,600
1515,1880,600
1516,1850,618
1517,1882,606
1518,1857,601
1519,1843,602
1520,1829,609
1521,1850,617
1522,1848,616
1523,1859,609
1524,1833,601
1525,1844,621
1526,1861,618
1527,1849,623
1528,1858,619
1529,1838,620
1530,1882,602
1531,1861,613
1532,1837,614
1533,1814,590
1534,1867,619
1535,1883,600
1536,1848,600
1537,1867,614
1538,1853,615
1539,1831,608
1540,1829,603
1541,1819,619
1542,1877,627
1543,1855,629
1544,1806,623
1545,1878,612
1546,1831,621
1547,1832,615
1548,1877,613
1549,1879,611
1550,1874,622
1551,1853,608
1552,1839,605
1553,1867,613
1554,1876,615
1555,1835,607
1556,1850,614
1557,1859,608
1558,1860,616
1559,1840,607
1560,1850,620
1561,1893,621
1562,1859,599
1563,1860,604
1564,1839,611
1565,1838,620
1566,1839,608
1567,1866,616
1568,1881,610
1569,1859,596
1570,1832,620
1571,1887,605
1572,1835,599
1573,1867,616
1574,1815,605
1575,1863,606
1576,1886,619
1577,1856,615
1578,1848,618
1579,1840,618
1580,1854,594
1581,1821,611
1582,1848,611
1583,1879,604
1584,1845,603
1585,1851,608
1586,1822,616
1587,1872,618
1588,1840,610
1589,1857,612
1590,1844,607
1591,1862,614
1592,1866,614
1593,1870,610
1594,1845,612
1595,1823,613
1596,1827,606
1597,1852,598
1598,1856,603
1599,1875,620
1600,1853,610
1601,1858,608
1602,1872,613
1603,1850,614
1604,1853,610
1605,1862,616
1606,1858,604
1607,1846,625
1608,1816,597
1609,1854,621
1610,1823,627
1611,1846,613
1612,1867,610
1613,1846,608
1614,1867,598
1615,1861,619
1616,1861,616
1617,1877,623
1618,1837,607
1619,1847,614
1620,1847,617
1621,1845,602
1622,1878,625
1623,1857,612
1624,1825,612
1625,1857,622
1626,1845,615
1627,1851,607
1628,1856,611
1629,1824,616
1630,1830,623
1631,1850,605
1632,1856,604
1633,1849,614
1634,1852,620
1635,1834,611
1636,1863,594
1637,1823,625
1638,1855,611
1639,1856,620
1640,1832,620
1641,1821,606
1642,1824,615
1643,1879,599
1644,1889,596
1645,1850,615
1646,1817,604
1647,1816,611
1648,1814,629
1649,1824,611
1650,1847,597
1651,1861,597
1652,1857,613
1653,1848,612
1654,1846,619
1655,1862,602
1656,1857,624
1657,1890,599
1658,1849,608
1659,1851,614
1660,1877,623
1661,1878,598
1662,1862,610
1663,1852,611
1664,1875,605
1665,1874,620
1666,1847,599
1667,1857,617
1668,1859,615
1669,1864,624
1670,1849,611
1671,1845,615
1672,1862,618
1673,1846,613
1674,1861,608
1675,1815,603
1676,1815,616
1677,1853,610
1678,1864,604
1679,1845,621
1680,1832,606
1681,1866,611
1682,1845,605
1683,1826,604
1684,1847,605
1685,1882,615
1686,1875,610
1687,1851,612
1688,1874,610
1689,1857,608
1690,1847,605
1691,1853,619
1692,1874,610
1693,1841,614
1694,1852,608
1695,1860,616
1696,1866,622
1697,1888,609
1698,1831,617
1699,1867,613
1700,1858,630
1701,1866,605
1702,1851,621
1703,1849,619
1704,1871,628
1705,1872,608
1706,1847,616
1707,1845,611
1708,1841,611
1709,1854,621
1710,1831,617
1711,1845,612
1712,1847,604
1713,1821,611
1714,1841,605
1715,1855,612
1716,1839,607
1717,1860,595
1718,1857,611
1719,1850,602
1720,1900,624
1721,1854,620
1722,1865,618
1723,1871,631
1724,1883,623
1725,1873,615
1726,1852,614
1727,1842,620
1728,1848,617
1729,1822,604
1730,1857,606
1731,1838,613
1732,1858,614
1733,1869,616
1734,1868,617
1735,1845,622
1736,1867,608
1737,1878,629
1738,1850,619
1739,1856,610
1740,1888,592
1741,1861,622
1742,1859,627
1743,1834,609
1744,1860,614
1745,1865,624
1746,1843,621
1747,1858,613
1748,1868,601
1749,1840,620
1750,1851,616
1751,1867,600
1752,1833,616
1753,1815,631
1754,1829,610
1755,1832,614
1756,1841,604
1757,1874,611
1758,1838,614
1759,1840,607
1760,1860,616
1761,1864,622
1762,1835,608
1763,1846,602
1764,1820,614
1765,1832,613
1766,1859,608
1767,1851,616
1768,1865,607
1769,1875,616
1770,1841,619
1771,1852,619
1772,1846,614
1773,1851,624
1774,1838,614
1775,1859,608
1776,1855,611
1777,1838,616
1778,1839,613
1779,1844,601
1780,1862,629
1781,1847,608
1782,1839,598
1783,1853,617
1784,1852,621
1785,1877,614
1786,1865,610
1787,1858,607
1788,1855,613
1789,1846,622
1790,1874,619
1791,1856,606
1792,1854,592
1793,1830,611
1794,1857,598
1795,1812,622
1796,1887,594
1797,1872,624
1798,1843,616
1799,1840,621
1800,1851,611
1801,1838,602
1802,1841,617
1803,1841,600
1804,1851,615
1805,1859,617
1806,1874,627
1807,1872,612
1808,1850,626
1809,1812,605
1810,1841,609
1811,1858,611
1812,1821,612
1813,1856,613
1814,1861,604
1815,1837,620
1816,1841,609
1817,1837,624
1818,1836,599
1819,1868,602
1820,1857,612
1821,1859,617
1822,1824,615
1823,1832,612
1824,1848,611
1825,1857,616
1826,1827,611
1827,1866,610
1828,1847,598
1829,1856,620
1830,1866,607
1831,1864,611
1832,1859,624
1833,1830,601
1834,1857,617
1835,1851,611
1836,1842,620
1837,1863,623
1838,1857,608
1839,1867,613
1840,1862,606
1841,1837,608
1842,1864,606
1843,1823,613
1844,1848,620
1845,1841,615
1846,1877,607
1847,1847,599
1848,1863,613
1849,1841,629
1850,1851,603
1851,1851,613
1852,1869,612
1853,1833,610
1854,1857,618
1855,1869,613
1856,1809,608
1857,1874,627
1858,1829,617
1859,1859,623
1860,1850,621
1861,1868,617
1862,1878,602
1863,1837,596
1864,1873,608
1865,1836,623
1866,1862,618
1867,1857,618
1868,1865,603
