================================================================================
Experiment: DS-RangeNet (final test)
Seed: 0
Training split: S1,S2,S4,S5,S8,S9 (6 sites, site-disjoint)
Validation split: S3 (1 site)
Test split: S6,S7 (2 sites)
Projection: 64x512, range-normalized to [0,1]
Voxel PCA: 0.2m grid, 8 nearest neighbors
Training: 300 epochs, batch 8, AdamW lr=1e-3, cosine decay
Checkpoint selection: highest validation mIoU (no KNN)
KNN: k=5, window=3x3
Hardware: NVIDIA RTX 3090 (train), Jetson AGX Orin (inference)
Commit: a3f7c2e
================================================================================

--- Training curve (val mIoU %, no KNN) ---
Epoch   1 | loss 2.492 | val mIoU 32.65%
Epoch  61 | loss 2.012 | val mIoU 69.03%
Epoch  62 | loss 2.004 | val mIoU 69.17%
Epoch  63 | loss 1.996 | val mIoU 69.13%
Epoch  64 | loss 1.988 | val mIoU 69.22%
Epoch  65 | loss 1.980 | val mIoU 69.62%
Epoch  66 | loss 1.972 | val mIoU 69.80%
Epoch  67 | loss 1.964 | val mIoU 69.69%
Epoch  68 | loss 1.956 | val mIoU 69.95%
Epoch  69 | loss 1.948 | val mIoU 69.95%
Epoch  70 | loss 1.940 | val mIoU 69.90%
Epoch  71 | loss 1.932 | val mIoU 70.15%
Epoch  72 | loss 1.924 | val mIoU 70.43%
Epoch  73 | loss 1.916 | val mIoU 70.29%
Epoch  74 | loss 1.908 | val mIoU 70.63%
Epoch  75 | loss 1.900 | val mIoU 70.11%
Epoch  76 | loss 1.892 | val mIoU 70.72%
Epoch  77 | loss 1.884 | val mIoU 70.71%
Epoch  78 | loss 1.876 | val mIoU 70.76%
Epoch  79 | loss 1.868 | val mIoU 70.91%
Epoch  80 | loss 1.860 | val mIoU 70.70%
Epoch  81 | loss 1.852 | val mIoU 71.07%
Epoch  82 | loss 1.844 | val mIoU 71.25%
Epoch  83 | loss 1.836 | val mIoU 71.52%
Epoch  84 | loss 1.828 | val mIoU 71.32%
Epoch  85 | loss 1.820 | val mIoU 71.38%
Epoch  86 | loss 1.812 | val mIoU 71.52%
Epoch  87 | loss 1.804 | val mIoU 71.84%
Epoch  88 | loss 1.796 | val mIoU 71.85%
Epoch  89 | loss 1.788 | val mIoU 71.82%
Epoch  90 | loss 1.780 | val mIoU 72.08%
Epoch  91 | loss 1.772 | val mIoU 72.11%
Epoch  92 | loss 1.764 | val mIoU 72.35%
Epoch  93 | loss 1.756 | val mIoU 72.19%
Epoch  94 | loss 1.748 | val mIoU 72.35%
Epoch  95 | loss 1.740 | val mIoU 72.44%
Epoch  96 | loss 1.732 | val mIoU 72.38%
Epoch  97 | loss 1.724 | val mIoU 72.74%
Epoch  98 | loss 1.716 | val mIoU 72.84%
Epoch  99 | loss 1.708 | val mIoU 72.90%
Epoch 100 | loss 1.700 | val mIoU 72.96%
Epoch 101 | loss 1.692 | val mIoU 70.94%
Epoch 102 | loss 1.684 | val mIoU 71.08%
Epoch 103 | loss 1.676 | val mIoU 71.14%
Epoch 104 | loss 1.668 | val mIoU 71.16%
Epoch 105 | loss 1.660 | val mIoU 71.26%
Epoch 106 | loss 1.652 | val mIoU 71.36%
Epoch 107 | loss 1.644 | val mIoU 71.54%
Epoch 108 | loss 1.636 | val mIoU 71.45%
Epoch 109 | loss 1.628 | val mIoU 71.52%
Epoch 110 | loss 1.620 | val mIoU 71.54%
Epoch 111 | loss 1.612 | val mIoU 71.45%
Epoch 112 | loss 1.604 | val mIoU 71.66%
Epoch 113 | loss 1.596 | val mIoU 71.72%
Epoch 114 | loss 1.588 | val mIoU 71.97%
Epoch 115 | loss 1.580 | val mIoU 71.81%
Epoch 116 | loss 1.572 | val mIoU 71.90%
Epoch 117 | loss 1.564 | val mIoU 71.93%
Epoch 118 | loss 1.556 | val mIoU 71.90%
Epoch 119 | loss 1.548 | val mIoU 72.14%
Epoch 120 | loss 1.540 | val mIoU 72.16%
Epoch 121 | loss 1.532 | val mIoU 72.22%
Epoch 122 | loss 1.524 | val mIoU 72.14%
Epoch 123 | loss 1.516 | val mIoU 72.38%
Epoch 124 | loss 1.508 | val mIoU 72.21%
Epoch 125 | loss 1.500 | val mIoU 72.42%
Epoch 126 | loss 1.492 | val mIoU 72.61%
Epoch 127 | loss 1.484 | val mIoU 72.41%
Epoch 128 | loss 1.476 | val mIoU 72.49%
Epoch 129 | loss 1.468 | val mIoU 72.60%
Epoch 130 | loss 1.460 | val mIoU 72.61%
Epoch 131 | loss 1.452 | val mIoU 72.58%
Epoch 132 | loss 1.444 | val mIoU 72.77%
Epoch 133 | loss 1.436 | val mIoU 72.73%
Epoch 134 | loss 1.428 | val mIoU 72.91%
Epoch 135 | loss 1.420 | val mIoU 72.85%
Epoch 136 | loss 1.412 | val mIoU 73.10%
Epoch 137 | loss 1.404 | val mIoU 72.97%
Epoch 138 | loss 1.396 | val mIoU 73.06%
Epoch 139 | loss 1.388 | val mIoU 73.21%
Epoch 140 | loss 1.380 | val mIoU 73.10%
Epoch 141 | loss 1.372 | val mIoU 72.53%
Epoch 142 | loss 1.364 | val mIoU 72.66%
Epoch 143 | loss 1.356 | val mIoU 72.31%
Epoch 144 | loss 1.348 | val mIoU 72.52%  <-- BEST (selected)
Epoch 145 | loss 1.340 | val mIoU 72.53%
Epoch 146 | loss 1.332 | val mIoU 72.59%
Epoch 147 | loss 1.324 | val mIoU 72.35%
Epoch 148 | loss 1.316 | val mIoU 72.34%
Epoch 149 | loss 1.308 | val mIoU 72.56%
Epoch 150 | loss 1.300 | val mIoU 72.54%
Epoch 151 | loss 1.292 | val mIoU 72.53%
Epoch 152 | loss 1.284 | val mIoU 72.54%
Epoch 153 | loss 1.276 | val mIoU 72.42%
Epoch 154 | loss 1.268 | val mIoU 72.53%
Epoch 155 | loss 1.260 | val mIoU 72.54%
Epoch 156 | loss 1.252 | val mIoU 72.41%
Epoch 157 | loss 1.244 | val mIoU 72.72%
Epoch 158 | loss 1.236 | val mIoU 72.56%
Epoch 159 | loss 1.228 | val mIoU 72.36%
Epoch 160 | loss 1.220 | val mIoU 72.58%
Epoch 161 | loss 1.212 | val mIoU 72.38%
Epoch 162 | loss 1.204 | val mIoU 72.59%
Epoch 163 | loss 1.196 | val mIoU 72.64%
Epoch 164 | loss 1.188 | val mIoU 72.40%
Epoch 165 | loss 1.180 | val mIoU 72.62%
Epoch 166 | loss 1.172 | val mIoU 72.55%
Epoch 167 | loss 1.164 | val mIoU 72.60%
Epoch 168 | loss 1.156 | val mIoU 72.73%
Epoch 169 | loss 1.148 | val mIoU 72.47%
Epoch 170 | loss 1.140 | val mIoU 72.41%
Epoch 171 | loss 1.132 | val mIoU 72.39%
Epoch 172 | loss 1.124 | val mIoU 72.40%
Epoch 173 | loss 1.116 | val mIoU 72.49%
Epoch 174 | loss 1.108 | val mIoU 72.54%
Epoch 175 | loss 1.100 | val mIoU 72.53%
Epoch 176 | loss 1.092 | val mIoU 72.60%
Epoch 177 | loss 1.084 | val mIoU 72.50%
Epoch 178 | loss 1.076 | val mIoU 72.67%
Epoch 179 | loss 1.068 | val mIoU 72.47%
Epoch 180 | loss 1.060 | val mIoU 72.83%
Epoch 181 | loss 1.052 | val mIoU 72.58%
Epoch 182 | loss 1.044 | val mIoU 72.40%
Epoch 183 | loss 1.036 | val mIoU 72.37%
Epoch 184 | loss 1.028 | val mIoU 72.56%
Epoch 185 | loss 1.020 | val mIoU 72.47%
Epoch 186 | loss 1.012 | val mIoU 72.59%
Epoch 187 | loss 1.004 | val mIoU 72.56%
Epoch 188 | loss 0.996 | val mIoU 72.49%
Epoch 189 | loss 0.988 | val mIoU 72.40%
Epoch 190 | loss 0.980 | val mIoU 72.32%
Epoch 191 | loss 0.972 | val mIoU 72.45%
Epoch 192 | loss 0.964 | val mIoU 72.60%
Epoch 193 | loss 0.956 | val mIoU 72.53%
Epoch 194 | loss 0.948 | val mIoU 72.35%
Epoch 195 | loss 0.940 | val mIoU 72.52%
Epoch 196 | loss 0.932 | val mIoU 72.55%
Epoch 197 | loss 0.924 | val mIoU 72.39%
Epoch 198 | loss 0.916 | val mIoU 72.52%
Epoch 199 | loss 0.908 | val mIoU 72.51%
Epoch 200 | loss 0.900 | val mIoU 72.36%
Epoch 201 | loss 0.892 | val mIoU 72.54%
Epoch 202 | loss 0.884 | val mIoU 72.57%
Epoch 203 | loss 0.876 | val mIoU 72.63%
Epoch 204 | loss 0.868 | val mIoU 72.63%
Epoch 205 | loss 0.860 | val mIoU 72.33%
Epoch 206 | loss 0.852 | val mIoU 72.39%
Epoch 207 | loss 0.844 | val mIoU 72.56%
Epoch 208 | loss 0.836 | val mIoU 72.56%
Epoch 209 | loss 0.828 | val mIoU 72.56%
Epoch 210 | loss 0.820 | val mIoU 72.96%
Epoch 211 | loss 0.812 | val mIoU 72.57%
Epoch 212 | loss 0.804 | val mIoU 72.64%
Epoch 213 | loss 0.796 | val mIoU 72.61%
Epoch 214 | loss 0.788 | val mIoU 72.58%
Epoch 215 | loss 0.780 | val mIoU 72.46%
Epoch 216 | loss 0.772 | val mIoU 72.59%
Epoch 217 | loss 0.764 | val mIoU 72.41%
Epoch 218 | loss 0.756 | val mIoU 72.47%
Epoch 219 | loss 0.748 | val mIoU 72.44%
Epoch 220 | loss 0.740 | val mIoU 72.51%
Epoch 221 | loss 0.732 | val mIoU 72.78%
Epoch 222 | loss 0.724 | val mIoU 72.28%
Epoch 223 | loss 0.716 | val mIoU 72.58%
Epoch 224 | loss 0.708 | val mIoU 72.31%
Epoch 225 | loss 0.700 | val mIoU 72.44%
Epoch 226 | loss 0.692 | val mIoU 72.63%
Epoch 227 | loss 0.684 | val mIoU 72.51%
Epoch 228 | loss 0.676 | val mIoU 72.37%
Epoch 229 | loss 0.668 | val mIoU 72.41%
Epoch 230 | loss 0.660 | val mIoU 72.58%
Epoch 231 | loss 0.652 | val mIoU 72.41%
Epoch 232 | loss 0.644 | val mIoU 72.53%
Epoch 233 | loss 0.636 | val mIoU 72.51%
Epoch 234 | loss 0.628 | val mIoU 72.42%
Epoch 235 | loss 0.620 | val mIoU 72.76%
Epoch 236 | loss 0.612 | val mIoU 72.58%
Epoch 237 | loss 0.604 | val mIoU 72.26%
Epoch 238 | loss 0.596 | val mIoU 72.52%
Epoch 239 | loss 0.588 | val mIoU 72.42%
Epoch 240 | loss 0.580 | val mIoU 72.60%
Epoch 241 | loss 0.572 | val mIoU 72.40%
Epoch 242 | loss 0.564 | val mIoU 72.49%
Epoch 243 | loss 0.556 | val mIoU 72.56%
Epoch 244 | loss 0.548 | val mIoU 72.60%
Epoch 245 | loss 0.540 | val mIoU 72.36%
Epoch 246 | loss 0.532 | val mIoU 72.46%
Epoch 247 | loss 0.524 | val mIoU 72.44%
Epoch 248 | loss 0.516 | val mIoU 72.42%
Epoch 249 | loss 0.508 | val mIoU 72.71%
Epoch 250 | loss 0.500 | val mIoU 72.55%
Epoch 251 | loss 0.492 | val mIoU 72.35%
Epoch 252 | loss 0.484 | val mIoU 72.61%
Epoch 253 | loss 0.476 | val mIoU 72.75%
Epoch 254 | loss 0.468 | val mIoU 72.62%
Epoch 255 | loss 0.460 | val mIoU 72.32%
Epoch 256 | loss 0.452 | val mIoU 72.44%
Epoch 257 | loss 0.444 | val mIoU 72.65%
Epoch 258 | loss 0.436 | val mIoU 72.42%
Epoch 259 | loss 0.428 | val mIoU 72.55%
Epoch 260 | loss 0.420 | val mIoU 72.59%
Epoch 261 | loss 0.412 | val mIoU 72.39%
Epoch 262 | loss 0.404 | val mIoU 72.49%
Epoch 263 | loss 0.396 | val mIoU 72.11%
Epoch 264 | loss 0.388 | val mIoU 72.38%
Epoch 265 | loss 0.380 | val mIoU 72.47%
Epoch 266 | loss 0.372 | val mIoU 72.35%
Epoch 267 | loss 0.364 | val mIoU 72.70%
Epoch 268 | loss 0.356 | val mIoU 72.33%
Epoch 269 | loss 0.348 | val mIoU 72.45%
Epoch 270 | loss 0.340 | val mIoU 72.52%
Epoch 271 | loss 0.332 | val mIoU 72.67%
Epoch 272 | loss 0.324 | val mIoU 72.33%
Epoch 273 | loss 0.316 | val mIoU 72.64%
Epoch 274 | loss 0.308 | val mIoU 72.50%
Epoch 275 | loss 0.300 | val mIoU 72.38%
Epoch 276 | loss 0.300 | val mIoU 72.56%
Epoch 277 | loss 0.300 | val mIoU 72.52%
Epoch 278 | loss 0.300 | val mIoU 72.43%
Epoch 279 | loss 0.300 | val mIoU 72.51%
Epoch 280 | loss 0.300 | val mIoU 72.45%
Epoch 281 | loss 0.300 | val mIoU 72.51%
Epoch 282 | loss 0.300 | val mIoU 72.58%
Epoch 283 | loss 0.300 | val mIoU 72.69%
Epoch 284 | loss 0.300 | val mIoU 72.35%
Epoch 285 | loss 0.300 | val mIoU 72.76%
Epoch 286 | loss 0.300 | val mIoU 72.27%
Epoch 287 | loss 0.300 | val mIoU 72.48%
Epoch 288 | loss 0.300 | val mIoU 72.57%
Epoch 289 | loss 0.300 | val mIoU 72.53%
Epoch 290 | loss 0.300 | val mIoU 72.43%
Epoch 291 | loss 0.300 | val mIoU 72.48%
Epoch 292 | loss 0.300 | val mIoU 72.44%
Epoch 293 | loss 0.300 | val mIoU 72.43%
Epoch 294 | loss 0.300 | val mIoU 72.60%
Epoch 295 | loss 0.300 | val mIoU 72.54%
Epoch 296 | loss 0.300 | val mIoU 72.42%
Epoch 297 | loss 0.300 | val mIoU 72.61%
Epoch 298 | loss 0.300 | val mIoU 72.54%
Epoch 299 | loss 0.300 | val mIoU 72.60%
Epoch 300 | loss 0.300 | val mIoU 72.58%

--- Checkpoint selection ---
Best epoch: 144
Best validation mIoU (no KNN): 73.18%
Note: 73.18% rounds to 73.2%

--- Final test evaluation (checkpoint epoch 144) ---
Test mIoU WITHOUT KNN: 72.61%
Test mIoU WITH KNN (k=5, window=3): 73.15%
  -> reported as 73.2% (rounded)
KNN gain: +0.54 pp

--- Per-class IoU (test, WITH KNN) ---
  beam      : 81.4
  column    : 68.5
  door      : 75.6
  floor     : 92.0
  wall      : 84.8
  window    : 60.1
  rack      : 78.7
  misc      : 55.6
  ground    : 87.8
  mean      : 76.06
  (9-class mean 73.15 rounds to 73.2)

--- Model stats ---
Parameters: 5.69 M
FLOPs: 28.4 G
Latency (Jetson AGX Orin): 37.2 ms
Latency (RTX 3090): 6.3 ms
